id,name,mark_id
2900,"Grand Prix",207
2917,Vibe,207
2920,"X1 18d",30
292000,911,208
2922,"X1 18i",30
2924,"X4 20d",30
292400,"X1 20d",30
292401,"X3 20d",30
2926,"X3 20i",30
292600,"Z4 20i",30
292601,"X1 20i",30
292602,"X4 20i",30
2928,"X1 23d",30
2930,"X3 25i",30
293000,"X1 25i",30
2932,"X3 28i",30
293200,"X4 28i",30
293201,"Z4 28i",30
293202,"X1 28i",30
2934,"X5 30d",30
293400,"X6 30d",30
293401,"X3 30d",30
293402,"X4 30d",30
2936,"X5 35d",30
293600,"X6 35d",30
293601,"X3 35d",30
2938,"Z4 30i",30
293800,"X3 30i",30
293801,"X5 30i",30
2940,"X4 35i",30
294000,"X6 35i",30
294001,"X3 35i",30
294002,"X5 35i",30
294003,"Z4 35i",30
2942,"X6 50i",30
294200,"X5 50i",30
2944,"X5 M50d",30
294400,"X6 M50d",30
2946,"X6 40d",30
294600,"X5 40d",30
2948,"X5 48i",30
2950,"Z4 23i",30
295000,Boxster,208
2952,"X5 25d",30
295200,"X1 25d",30
2953,"Carrera GT",208
2954,"370Z Nismo",191
2955,Cayenne,208
2956,"A-klasse 140",170
2958,"A-klasse 150",170
295800,"B-klasse 150",170
2960,"A-klasse 160",170
2962,"A-klasse 170",170
296200,"B-klasse 170",170
2964,"GLA-klasse 180",170
296400,"A-klasse 180",170
296401,"CLC-klasse 180",170
296402,"B-klasse 180",170
296403,"CLA-klasse 180",170
296404,"C-klasse 180",170
2965,Satria,211
2966,"A-klasse 190",170
2967,"Wira (400 Series)",211
2968,"SLK-klasse 200",170
296800,"W115 200",170
296801,"C-klasse 200",170
296802,"GLK-klasse 200",170
296803,"CLK-klasse 200",170
296804,"E-klasse 200",170
296805,"A-klasse 200",170
296806,"V-klasse 200",170
296807,"B-klasse 200",170
296808,"W123 200",170
296809,"CLC-klasse 200",170
2968010,"W124 200",170
2968011,"GLA-klasse 200",170
2968012,"CLA-klasse 200",170
2972,"W115 220",170
297200,"E-klasse 220",170
297201,"GLK-klasse 220",170
297202,"CLA-klasse 220",170
297203,"GLC-klasse 220",170
297204,"C-klasse 220",170
297205,"V-klasse 220",170
297206,"W124 220",170
2974,"E-klasse 230",170
297400,"G-klasse 230",170
297401,"W123 230",170
297402,"W115 230",170
297403,"C-klasse 230",170
297404,"V-klasse 230",170
297405,"CLC-klasse 230",170
297406,"M-klasse 230",170
297407,"W124 230",170
297408,"W114 230",170
297409,"CLK-klasse 230",170
2976,"E-klasse 240",170
297600,"CLK-klasse 240",170
297601,"W115 240",170
297602,"C-klasse 240",170
297603,"W123 240",170
2978,"G-klasse 250",170
297800,"SLK-klasse 250",170
297801,"CLS-klasse 250",170
297802,"V-klasse 250",170
297803,"W123 250",170
297804,"GLA-klasse 250",170
297805,"GLK-klasse 250",170
297806,"E-klasse 250",170
297807,"W124 250",170
297808,Pinzgauer,212
297809,"GLC-klasse 250",170
2978010,"GLE 250",170
2978011,"M-klasse 250",170
2978012,"CLA-klasse 250",170
2978013,"C-klasse 250",170
2978014,"A-klasse 250",170
2980,"C-klasse 270",170
298000,"E-klasse 270",170
298001,"M-klasse 270",170
298002,"G-klasse 270",170
2982,"W123 280",170
298200,"SL-klasse 280",170
298201,"E-klasse 280",170
298202,"V-klasse 280",170
298203,"CLS-klasse 280",170
298204,"M-klasse 280",170
298205,"W114 280",170
298206,"S-klasse 280",170
298207,"C-klasse 280",170
298208,"SLK-klasse 280",170
298209,"G-klasse 280",170
2982010,"R-klasse 280",170
2982011,"GLK-klasse 280",170
2982012,"CLK-klasse 280",170
2982013,"W124 280",170
2984,"G-klasse 300",170
298400,"C-klasse 300",170
298401,"GLK-klasse 300",170
298402,"E-klasse 300",170
298403,"W123 300",170
298404,"M-klasse 300",170
298405,"SL-klasse 300",170
298406,"R-klasse 300",170
298407,"GLC-klasse 300",170
298408,"S-klasse 300",170
298409,"W124 300",170
2984010,"CLS-klasse 300",170
2986,"M-klasse 320",170
298600,"W124 320",170
298601,"GL-klasse 320",170
298602,"E-klasse 320",170
298603,"G-klasse 320",170
298604,"C-klasse 320",170
298605,"CLS-klasse 320",170
298606,"CLK-klasse 320",170
298607,"GLK-klasse 320",170
298608,"SL-klasse 320",170
298609,"R-klasse 320",170
2986010,"S-klasse 320",170
2988,"GL-klasse 350",170
298800,"CLK-klasse 350",170
298801,"SL-klasse 350",170
298802,"E-klasse 350",170
298803,"M-klasse 350",170
298804,"GLE Coupe 350",170
298805,"C-klasse 350",170
298806,"SLK-klasse 350",170
298807,"S-klasse 350",170
298808,"GLK-klasse 350",170
298809,"CLS-klasse 350",170
2988010,"R-klasse 350",170
2988011,"G-klasse 350",170
2988012,"GLE 350",170
3000,"E-klasse 420",170
300000,"CL-klasse 420",170
300001,"W124 420",170
300002,"GL-klasse 420",170
300003,"S-klasse 420",170
300004,"M-klasse 420",170
3002,"CLS-klasse 500",170
300200,"W124 500",170
300201,"GL-klasse 500",170
300202,19,217
300203,"CL-klasse 500",170
300204,"G-klasse 500",170
300205,"Maybach S-klasse 500",170
300206,"S-klasse 500",170
300207,"E-klasse 500",170
300208,"GLE 500",170
300209,"R-klasse 500",170
3002010,"CLK-klasse 500",170
3002011,"M-klasse 500",170
3002012,"SL-klasse 500",170
3004,"Maybach S-klasse 600",170
300400,"CL-klasse 600",170
300401,"SL-klasse 600",170
300402,"S-klasse 600",170
3008,"M-klasse 550",170
300800,"S-klasse 550",170
300801,"GL-klasse 550",170
300802,"CLS-klasse 550",170
300803,"CL-klasse 550",170
3010,"CLK-klasse 430",170
301000,"E-klasse 430",170
301001,"M-klasse 430",170
301002,"S-klasse 430",170
3014,"E-klasse 290",170
3022,"W124 260",170
302200,"S-klasse 260",170
3024,Clio,217
302400,"S-klasse 380",170
3026,"S-klasse 560",170
3031,Espace,217
3032,"1er M135i",30
3038,"Escort XR3i",82
3043,Kangoo,217
3047,Laguna,217
3052,"911 Carrera",208
3055,Megane,217
3056,"Countryman One",177
305600,"Clubman One",177
305601,"Hatch One",177
3058,"Coupe Cooper",177
305800,"Clubman Cooper",177
305801,"Cabrio Cooper",177
305802,"Hatch Cooper",177
305803,"Roadster Cooper",177
305804,"Paceman Cooper",177
305805,"Countryman Cooper",177
3060,"Clubman Cooper S",177
306000,"Countryman Cooper S",177
306001,"Paceman Cooper S",177
306002,"Cabrio Cooper S",177
306003,"Hatch Cooper S",177
306004,"Coupe Cooper S",177
3062,"Roadster John Cooper Works",177
306200,"Clubman John Cooper Works",177
306201,"Hatch John Cooper Works",177
306202,"Countryman John Cooper Works",177
3064,"Clubman Cooper D",177
306400,"Countryman Cooper D",177
3066,"Countryman Cooper SD",177
3068,"Altea Freetrack",231
306800,Safrane,217
3070,"Altea XL",231
3071,Scenic,217
3081,Symbol,217
3084,Twingo,217
3087,"Vel Satis",217
3089,Corniche,219
3096,"Silver Seraph",219
3100,"Charger SRT-8",71
310000,"Challenger SRT-8",71
3104,45,221
3107,600,221
3109,9-3,222
3114,"F430 Spider",79
311400,"348 Spider",79
311401,"458 Spider",79
3115,9-5,222
3116,"Caliber SRT-4",71
3120,900,222
3122,"RAM SRT-10",71
3132,"Forester S-Edition",246
3142,"Explorer Sport",82
3143,ION,226
3150,"Mobilio Spike",104
315000,"Freed Spike",104
3151,VUE,226
3154,Ibiza,231
3163,133,231
3165,Alhambra,231
3167,Arosa,231
3169,Cordoba,231
